Kanji,Hiragana,Nghĩa
学校,がっこう,Trường học
先生,せんせい,Giáo viên
学生,がくせい,"Học sinh, sinh viên"
勉強,べんきょう,Học tập
授業,じゅぎょう,"Tiết học, bài giảng"
試験,しけん,"Kỳ thi, bài kiểm tra"
教科書,きょうかしょ,Sách giáo khoa
黒板,こくばん,Bảng đen
教室,きょうしつ,Phòng học
宿題,しゅくだい,Bài tập về nhà
成績,せいせき,"Thành tích, điểm số"
図書館,としょかん,Thư viện
入学,にゅうがく,Nhập học
卒業,そつぎょう,Tốt nghiệp
大学,だいがく,Đại học
中学校,ちゅうがっこう,Trường trung học cơ sở
小学校,しょうがっこう,Trường tiểu học
教育,きょういく,Giáo dục
授業料,じゅぎょうりょう,Học phí
学期,がっき,Học kỳ
試験管,しけんかん,Giám thị
筆記用具,ひっきようぐ,Bút và dụng cụ viết
入試,にゅうし,Kỳ thi tuyển sinh
参考書,さんこうしょ,Sách tham khảo
予習,よしゅう,Chuẩn bị bài học
