Kanji,Hiragana,Nghĩa
性格,せいかく,Tính cách
優しい,やさしい,"Hiền lành, dễ thương"
明るい,あかるい,"Vui vẻ, sáng sủa"
親切,しんせつ,"Thân thiện, tử tế"
真面目,まじめ,Nghiêm túc
積極的,せっきょくてき,Tích cực
消極的,しょうきょくてき,Tiêu cực
誠実,せいじつ,Thành thật
気楽,きらく,"Thư thái, thoải mái"
勇気,ゆうき,Dũng cảm
我慢強い,がまんづよい,Kiên nhẫn
正直,しょうじき,Trung thực
大胆,だいたん,Táo bạo
几帳面,きちょうめん,"Cẩn thận, tỉ mỉ"
冷静,れいせい,Bình tĩnh
楽天的,らくてんてき,Lạc quan
神経質,しんけいしつ,Nhạy cảm
短気,たんき,Nóng tính
内気,うちき,Nhút nhát
社交的,しゃこうてき,Hòa đồng
責任感,せきにんかん,Có trách nhiệm
思いやり,おもいやり,"Quan tâm, chu đáo"
忠実,ちゅうじつ,Trung thành
潔癖,けっぺき,Cầu toàn
柔軟,じゅうなん,Linh hoạt
