word,phonetic,mean,comment
模様,もよう,hoa văn tình hình ( trận đấu ),
不平,ふへい,bất bình không thỏa mãn,
部位,ぶい,bộ phận trong cơ thể,
発車,はっしゃ,xe khởi hành,
停車,ていしゃ,sự dừng xe,
本来,ほんらい,vốn dĩ bản chất,
体制,たいせい,hệ thống (y học) thể chế,
状況,じょうきょう,tình trạg,
天候,てんこう,tiết trời (thời tiết dạo gần),
海水浴,かいすいよく,sự tắm biển,
任意,にんい,tự nguyện tùy ý,
了承,りょうしょう,sự thông cảm,
田螺,たにし,ốc đồng (ốc bươu),
編集,へんしゅう,chỉnh sữa edit,
地元,じもと,địa phương trong vùng,
発売,はつばい,phát mãi sự bán ra,
気候,きこう,khí hậu,
発祥,はっしょう,khởi nguồn,
展開,てんかい,sự triển khai,
教材,きょうざい,giáo trình giảng dạy,
指定,してい,sự chỉ định,
研修,けんしゅう,"đào tạo, huấn luyện",
過程,かてい,quá trình; giai đoạn,
円滑,えんかつ,trôi chảy trơn tru,
構造,こうぞう,cấu tạo cấu trúc,
古典,こてん,sự cổ điển,
食物,しょくもつ,đồ ăn thực phẩm,
配分,はいぶん,sự phân bổ phân chia,
民間,みんかん,cá nhân tư nhân (private),
周辺,しゅうへん,vùng lân cận (ngoại vi),
